"@title","Espa&ntilde;ol"
"@language","es-SV"
"@scale","auto"
"@appli","104 - Do not change"
"@version","1.12 - Do not change"
"@author","Andrew G"
"#00000","Planicies"
"#00001","Bosque"
"#00002","Nieve"
"#00003","Monta&ntilde;as"
"#00004","Desierto"
"#00005","Pantano"
"#00006","Pueblo"
"#00007","Volc&aacute;n"
"#00008","Mercado M&aacute;gico"
"#00009","seleccionar"
"#00010","Mejora a tu mago."
"#00011","Varitas y Varitas"
"#00012","Compra incre&iacute;bles varitas."
"#00013","Posada"
"#00014","Encuentra aliados de confianza."
"#00015","Vendedor de ropa"
"#00016","Vestir con estilo."
"#00017","Castillo"
"#00018","Vendedor de sombreros"
"#00019","Compra sombreros con estilo."
"#00020","CrystalCo."
"#00021","Compra cristales."
"#00022","no usar"
"#00023","Mejorados"
"#00024","Actualiza tiendas."
"#00025","Tienda de <co=f6da00>Oro</co>"
"#00026","Compra <co=f6da00>Oro</co>."
"#00027","Plaza"
"#00028","Alojamiento"
"#00029","Donde viven tus aliados."
"#00030","bala"
"#00031","efecto"
"#00032","H&eacute;roe"
"#00033","personaje"
"#00034","arma"
"#00035","Novato"
"#00036","Golpeador"
"#00037","Arquero"
"#00038","Sabio"
"#00039","Acr&oacute;bata"
"#00040","Caballero Montado"
"#00041","Mercader"
"#00042","Cocinero"
"#00043","Artillero"
"#00044","Quester"
"#00045","Francotirador"
"#00046","Peddler"
"#00047","Chica Kung Fu"
"#00048","Explorador"
"#00049","Vengador"
"#00050","Palad&iacute;n"
"#00051","Bruja"
"#00052","Mimo"
"#00053","Caballero"
"#00054","Guerrero♂"
"#00055","Pr&iacute;ncipe"
"#00056","Guerrero♀"
"#00057","Sirena"
"#00058","Leyenda"
"#00059","Ninja"
"#00060","Luchador"
"#00061","Esqueleto"
"#00062","Dem&oacute;nio"
"#00063","Campi&oacute;n"
"#00064","Rey"
"#00065","Gato"
"#00066","Perro"
"#00067","Vaca"
"#00068","Chimpan C"
"#00069","Kairobot"
"#00070","Wairobot"
"#00071","Princesa Sally"
"#00072","Posada"
"#00073","Rods&Rods"
"#00074","Clothier"
"#00075","Top Hatter"
"#00076","MagiMart"
"#00077","CrystalCo."
"#00078","Gold Store"
"#00079","Upgrader"
"#00080","Townie"
"#00081","Passer-by"
"#00082","Gossiping Girl"
"#00083","Wise Old Man"
"#00084","Youngster"
"#00085","City Guard"
"#00086","Hawker"
"#00087","Gourmet"
"#00088","Local Girl"
"#00089","Tourist"
"#00090","Peddler"
"#00091","Legendary Kairobot"
"#00092","Archmage"
"#00093","Forest Warden"
"#00094","Snow Warden"
"#00095","Mountain Warden"
"#00096","Desert Warden"
"#00097","Swamp Warden"
"#00098","Town Warden"
"#00099","Volcano Warden"
"#00100","Outfit 1"
"#00101","chara"
"#00102","A new look means better abilities."
"#00103","Outfit 2"
"#00104","Outfit 3"
"#00105","Outfit 4"
"#00106","Outfit 5"
"#00107","Outfit 6"
"#00108","Outfit 7"
"#00109","Outfit 8"
"#00110","Outfit 9"
"#00111","Outfit 10"
"#00112","Outfit 11"
"#00113","Outfit 12"
"#00114","Outfit 13"
"#00115","Outfit 14"
"#00116","Outfit 15"
"#00117","Outfit 16"
"#00118","Outfit 17"
"#00119","Outfit 18"
"#00120","Outfit 19"
"#00121","Outfit 20"
"#00122","Outfit 21"
"#00123","Outfit 22"
"#00124","Outfit 23"
"#00125","Outfit 24"
"#00126","Outfit 25"
"#00127","Outfit 26"
"#00128","Outfit 27"
"#00129","Outfit 28"
"#00130","Outfit 29"
"#00131","Outfit 30"
"#00132","Outfit 31"
"#00133","Outfit 32"
"#00134","not use"
"#00135","quest"
"#00136","enemy"
"#00138","weapon"
"#00140","Novice Rod"
"#00141","Shoots magic straight ahead."
"#00142","Pine Rod"
"#00143","Iron Rod"
"#00144","Shoots magic all around."
"#00145","Sun Rod"
"#00146","Rapid-fire magic straight ahead."
"#00147","Ornate Rod"
"#00148","Angel Rod"
"#00149","Aqua Rod"
"#00150","Shiny Rod"
"#00151","Chill Rod"
"#00152","Frosty Rod"
"#00153","Fancy Rod"
"#00154","Glow Rod"
"#00155","Ember Rod"
"#00156","Blaze Rod"
"#00157","Skull Rod"
"#00158","Blast Rod"
"#00159","Spark Rod"
"#00160","Shock Rod"
"#00161","Bolt Rod"
"#00162","Thunder Rod"
"#00163","Kairo Rod"
"#00164","Grace Rod"
"#00165","Holy Rod"
"#00166","Dragon Rod"
"#00167","Nature Rod"
"#00168","You've completed<br>all quests!"
"#00169","Crystals obtained: <0>"
"#00170","Stamina fully<br>recovered!"
"#00171","You got<br>the <0>!"
"#00172","Forest area<br>unlocked!"
"#00173","Snow area<br>unlocked!"
"#00174","Mountain area<br>unlocked!"
"#00175","Desert area<br>unlocked!"
"#00176","Swamp area<br>unlocked!"
"#00177","Town area<br>unlocked!"
"#00178","Volcano area<br>unlocked!"
"#00179","More vacant lots<br>have been added!"
"#00180","You got 50 Crystals as<br>bonus for checking out<br>Kairosoft games!"
"#00181","You can now play<br>in landscape mode!"
"#00182","You got<br>300G<br>from townsfolk!"
"#00183","You got<br>500G!"
"#00184","You got<br>100 Crystals!"
"#00185","You got<br>1,000G!"
"#00186","You got<br>50 Crystals!"
"#00187","Recovered half<br>of max Stamina!"
"#00188","You got<br>200 Crystals!"
"#00189","You got<br>1,000 Crystals + 8,000G<br>as a Sharing Bonus!"
"#00190","You got<br>300 Crystals!"
"#00191","Hat 1"
"#00192","hat"
"#00193","A new look means better abilities."
"#00194","Hat 2"
"#00195","Hat 3"
"#00196","Hat 4"
"#00197","Hat 5"
"#00198","Hat 6"
"#00199","Hat 7"
"#00200","Hat 8"
"#00201","Hat 9"
"#00202","Hat 10"
"#00203","Hat 11"
"#00204","Hat 12"
"#00205","Hat 13"
"#00206","Hat 14"
"#00207","Hat 15"
"#00208","Hat 16"
"#00209","Hat 17"
"#00210","Hat 18"
"#00211","Hat 19"
"#00212","Hat 20"
"#00213","Hat 21"
"#00214","Hat 22"
"#00215","Hat 23"
"#00216","Hat 24"
"#00217","Hat 25"
"#00218","Hat 26"
"#00219","Hat 27"
"#00220","Hat 28"
"#00221","Hat 29"
"#00222","Hat 30"
"#00223","Hat 31"
"#00224","Hat 32"
"#00225","Hat 33"
"#00226","Hat 34"
"#00227","Hat 35"
"#00228","Hat 36"
"#00229","Hat 37"
"#00230","Hat 38"
"#00231","Hat 39"
"#00232","Hat 40"
"#00233","Hat 41"
"#00234","Hat 42"
"#00235","Hat 43"
"#00236","Hat 44"
"#00237","Hat 45"
"#00238","Hat 46"
"#00239","Hat 47"
"#00240","Hat 48"
"#00241","Hat 49"
"#00242","Hat 50"
"#00243","Hat 51"
"#00244","Hat 52"
"#00245","Hat 53"
"#00246","Hat 54"
"#00247","Hat 55"
"#00248","Hat 56"
"#00249","Hat 57"
"#00250","Hat 58"
"#00251","Hat 59"
"#00252","Hat 60"
"#00253","Hat 61"
"#00254","Hat 62"
"#00255","Hat 63"
"#00256","Hat 64"
"#00257","Hat 65"
"#00258","Hat 66"
"#00259","Hat 67"
"#00260","Hat 68"
"#00261","Hat 69"
"#00262","Hat 70"
"#00263","Hat 71"
"#00264","Hat 72"
"#00265","Hat 73"
"#00266","Hat 74"
"#00267","Hat 75"
"#00268","Hat 76"
"#00269","Hat 77"
"#00270","Hat 78"
"#00271","Hat 79"
"#00272","Hat 80"
"#00273","Hat 81"
"#00274","Hat 82"
"#00275","Hat 83"
"#00276","Hat 84"
"#00277","Hat 85"
"#00278","Hat 86"
"#00279","Hat 87"
"#00280","Hat 88"
"#00281","Hat 89"
"#00282","Hat 90"
"#00283","Hat 91"
"#00284","Hat 92"
"#00285","Hat 93"
"#00286","Hat 94"
"#00287","Hat 95"
"#00288","Hat 96"
"#00289","Hat 97"
"#00290","Hat 98"
"#00291","Hat 99"
"#00292","Hat 100"
"#00293","Hat 101"
"#00294","Hat 102"
"#00295","Hat 103"
"#00296","Hat 104"
"#00297","Hat 105"
"#00298","Hat 106"
"#00299","Hat 107"
"#00300","Hat 108"
"#00301","Hat 109"
"#00302","Hat 110"
"#00303","Hat 111"
"#00304","Hat 112"
"#00305","Hat 113"
"#00306","Hat 114"
"#00307","Hat 115"
"#00308","Hat 116"
"#00309","Hat 117"
"#00310","Hat 118"
"#00311","Hat 119"
"#00312","Hat 120"
"#00313","Hat 121"
"#00314","Hat 122"
"#00315","Hat 123"
"#00316","Hat 124"
"#00317","Hat 125"
"#00318","Hat 126"
"#00319","Hat 127"
"#00320","Hat 128"
"#00321","Hat 129"
"#00322","Hat 130"
"#00323","Hat 131"
"#00324","Hat 132"
"#00325","Hat 133"
"#00326","Hat 134"
"#00327","Hat 135"
"#00328","Hat 136"
"#00329","Hat 137"
"#00330","Hat 138"
"#00331","Hat 139"
"#00332","Hat 140"
"#00333","Hat 141"
"#00334","Hat 142"
"#00335","Hat 143"
"#00336","Hat 144"
"#00337","Hat 145"
"#00338","Hat 146"
"#00339","HP"
"#00340","MP"
"#00341","Defense"
"#00342","MATK"
"#00343","Recovery"
"#00344","Fire"
"#00345","Water"
"#00346","Lightning"
"#00347","0	0"
"#00348","TEST　STAGE"
"#00349","chip"
"#00350","STAGE 1"
"#00351","STAGE 2"
"#00352","STAGE 3"
"#00353","STAGE 4"
"#00354","BOSS STAGE"
"#00355","STAGE 5"
"#00356","STAGE 6"
"#00357","STAGE 7"
"#00358","STAGE 8"
"#00359","STAGE 9"
"#00360","Buy"
"#00361","Equip."
"#00362","Open"
"#00363","Edit"
"#00364","Later"
"#00365","Quit"
"#00366","Settings"
"#00367","Greetings. I am the king of this<br>recently depopulated land. Actually,<br>this is my first day on the job."
,"The first thing I noticed was<br>the inexplicable disappearance<br>of our most precious orb."
